"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","64","getBooking-invalidID","Restful-booker","2026-06-24","passed","2026-06-24","Get Booking","Booking","",""
"","21","createBooking","Restful-booker","2026-06-24","broken","2026-06-24","Create Booking","Booking","",""
"","15","partialUpdate","Restful-booker","2026-06-24","broken","2026-06-24","Update Booking","Booking","",""
"","15","getBoookingIds","Restful-booker","2026-06-24","broken","2026-06-24","Get BookingIds","Booking","",""
"","18","updateBooking -noToken","Restful-booker","2026-06-24","broken","2026-06-24","Update Booking","Booking","",""
"","13","createBooking-emptyFields","Restful-booker","2026-06-24","broken","2026-06-24","Create Booking","Booking","",""
"","15","createToken - invalidPassword","Restful-booker","2026-06-24","broken","2026-06-24","","Auth","",""
"","12","deleteBooking","Restful-booker","2026-06-24","broken","2026-06-24","Delete Booking","Booking","",""
"","15","updateBooking","Restful-booker","2026-06-24","broken","2026-06-24","Update Booking","Booking","",""
"","35","createToken","Restful-booker","2026-06-24","broken","2026-06-24","","Auth","",""
"","17","getBooking","Restful-booker","2026-06-24","broken","2026-06-24","Get Booking","Booking","",""
"","15","createBooking-invalidDates","Restful-booker","2026-06-24","broken","2026-06-24","Create Booking","Booking","",""
"","14","createBooking-invalidPrice","Restful-booker","2026-06-24","broken","2026-06-24","Create Booking","Booking","",""
